Nombre pagina,Titulo,Descripcion,Fecha de publicacion,Paises relacionados
BBC,Over 21s to get £12.71 an hour as minimum wage increased,"The move has been welcomed, but some experts say it will not cover the current cost of living.","Tue, 25 Nov 2025 18:54:42 GMT",No hay un pais relacionado
BBC,Chris Mason: Reeves will be hoping the Budget buys her some time,Deep unpopularity in the country and jittery Labour MPs is the prism through which both the countdown to this Budget and its aftermath should be seen.,"Tue, 25 Nov 2025 17:58:16 GMT",No hay un pais relacionado
BBC,Justice secretary wants to scrap jury trials except for most serious cases,"Only cases of alleged murder, rape or manslaughter will be decided by a jury under new proposals to cut court backlogs.","Tue, 25 Nov 2025 17:51:33 GMT",No hay un pais relacionado
BBC,"Farage's racism denials are dishonest, says ex-classmate",Peter Ettedgui tells the BBC Nigel Farage targeted antisemitic abuse at him when they were teenagers.,"Tue, 25 Nov 2025 21:11:34 GMT",No hay un pais relacionado
BBC,"Ukraine says 'understanding' reached with US on peace plan, as Trump says his envoy will meet Putin","President Trump says the original peace plan has been ""fine-tuned"", and that he will send his envoy Steve Witkoff to Moscow.","Tue, 25 Nov 2025 22:46:23 GMT",No hay un pais relacionado
BBC,"Sir Richard Branson 'heartbroken' as wife, Joan, dies aged 80","Sir Richard said she was ""the most wonderful mum and grandmum our kids and grandkids could have ever wished for"".","Tue, 25 Nov 2025 21:52:48 GMT",No hay un pais relacionado
BBC,Man arrested over fly-tipped mountain of waste,A 39-year-old man is arrested after the huge pile of rubbish was found in Oxfordshire.,"Tue, 25 Nov 2025 14:01:08 GMT",No hay un pais relacionado
BBC,Bolsonaro ordered to start serving 27-year prison sentence for Brazil coup plot,The Supreme Court says the former leader has exhausted his appeals and will start his prison term at a police station in Brasilia.,"Tue, 25 Nov 2025 22:29:15 GMT",Brasil
BBC,Ronaldo clear for World Cup opener despite red card,Cristiano Ronaldo will be able to play for Portugal in their opening World Cup game despite his red card against the Republic of Ireland.,"Tue, 25 Nov 2025 16:37:17 GMT",Portugal
BBC,Historian criticises BBC for removing Trump line from Radio 4 lecture,"Rutger Bregman says he is ""genuinely dismayed"" after a line about the US president was edited out.","Tue, 25 Nov 2025 18:40:33 GMT",No hay un pais relacionado
BBC,Ex-wife of Dubai royal says she fears arrest as custody battle escalates,"Zeynab Javadli's ex-husband has lodged a criminal complaint with Dubai police, accusing her of kidnapping their three daughters.","Tue, 25 Nov 2025 17:40:57 GMT",No hay un pais relacionado
BBC,Canadian PM's office and border services not 'involved' in Kneecap ban,"In September, Liberal MP and Parliamentary Secretary for Combating Crime Vince Gasparro announced the ban ""on behalf"" of the Canadian government.","Tue, 25 Nov 2025 21:35:19 GMT",No hay un pais relacionado
BBC,English mayors will get new powers to  levy tourist taxes,Mayors will be given the power to charge tourists a tax for staying overnight in their towns and cities.,"Tue, 25 Nov 2025 19:07:53 GMT",No hay un pais relacionado
BBC,"We earn £60,000 and want a bigger house - stamp duty should be scrapped",BBC News hears from people with a range of incomes about what they want to see in the Budget.,"Tue, 25 Nov 2025 00:00:32 GMT",No hay un pais relacionado
BBC,Help to Save scheme to be offered to more people,"The government gives a 50% bonus after two and four years, to encourage those on low incomes to save.","Tue, 25 Nov 2025 16:00:14 GMT",No hay un pais relacionado
BBC,How much are minimum wages set to rise?,Three and a half million low-paid workers across the UK benefit from minimum wage rates.,"Tue, 25 Nov 2025 18:00:16 GMT",No hay un pais relacionado
BBC,"Who is Trump's 'drone guy' Dan Driscoll, taking key role in Ukraine talks?",The youngest-ever US army secretary has been thrust into the spotlight as the face of renewed efforts to end the years-long war.,"Tue, 25 Nov 2025 20:11:12 GMT",No hay un pais relacionado
BBC,How to make sure you're getting a good deal on Black Friday,"Discounts often aren't the cheapest prices, but here's how to make sure you're getting a good deal.","Tue, 25 Nov 2025 10:44:19 GMT",No hay un pais relacionado
BBC,Adolescence lasts into 30s - new study shows four pivotal ages for your brain,Brain scans on thousands of people reveal the dramatic shifts the brain goes through between birth and death.,"Tue, 25 Nov 2025 10:11:12 GMT",No hay un pais relacionado
BBC,Scammers hacked her phone and stole thousands - so how did they get her details?,Sue Shore told the BBC how scammers targeted her - and we found her information had been leaked online.,"Tue, 25 Nov 2025 04:58:08 GMT",No hay un pais relacionado
BBC,'Don't wait for permission' - Bafta Breakthrough star Ellis Howard's advice to young artists,The What it Feels Like For a Girl star says his career changed when he posted Instagram videos.,"Tue, 25 Nov 2025 12:24:57 GMT",No hay un pais relacionado
BBC,Are we going to have a white Christmas this year?,Sarah Keith-Lucas explores the chances of getting snow at Christmas this year in the UK.,"Tue, 25 Nov 2025 01:35:09 GMT",No hay un pais relacionado
BBC,"English actor Jack Shepherd, star of Wycliffe, dies at 85",He will be remembered for his roles as TV detective Charles Wycliffe and fictional Labour MP Bill Brand.,"Tue, 25 Nov 2025 20:48:50 GMT",No hay un pais relacionado
BBC,CPS to train staff to spot 'hidden crimes' when investigating domestic abuse,"The CPS says data shows a ""growing relationship"" between domestic abuse and crimes including rape and stalking.","Tue, 25 Nov 2025 20:20:03 GMT",No hay un pais relacionado
BBC,Watch: Popemobile becomes a mobile health clinic for Gaza children,The vehicle had transported the late Pope Francis on a visit to Bethlehem in 2014.,"Tue, 25 Nov 2025 14:51:12 GMT",No hay un pais relacionado
BBC,"Thai woman's cremation stopped as knocking on coffin heard, temple staff say","The general manager of a Buddhist temple was startled to see her ""opening her eyes"" as the coffin opened, AP news agency says.","Tue, 25 Nov 2025 14:12:24 GMT",No hay un pais relacionado
BBC,Man jailed for murdering teen yards from his home,"Eddie Kinuthia, 19, died after being stabbed multiple times near his home in Bristol.","Tue, 25 Nov 2025 17:50:20 GMT",No hay un pais relacionado
BBC,Prince William reveals 'love' of cold water swimming,"The Prince of Wales told fellow cold water swimmers that the hobby helps him ""feel great afterwards"".","Tue, 25 Nov 2025 17:21:33 GMT",No hay un pais relacionado
BBC,High Court refuses garden radar scan for McKay remains,"Judge accuses McKay family of ""egregious conduct"" after a homeowner cited ""borderline harassment"".","Tue, 25 Nov 2025 16:20:40 GMT",No hay un pais relacionado
BBC,BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests","Wed, 30 Apr 2025 14:04:28 GMT",No hay un pais relacionado
BBC,The Budget: What To Watch Out For,More details emerge ahead of the budget about tax rises and increases to minimum wage.,"Tue, 25 Nov 2025 19:33:00 GMT",No hay un pais relacionado
BBC,Americanswers… on 5 Live! What’s really going on with Trump’s peace plan for Ukraine?,The US president has urged Zelensky to accept a controversial ceasefire deal,"Mon, 24 Nov 2025 19:34:00 GMT",No hay un pais relacionado
El Pais,El Gobierno propone a la progresista Teresa Peramato como fiscal general del Estado,"Bolaños defiende la trayectoria “intachable” e “impecable” de la sucesora de García Ortiz, muy vinculada a la lucha contra la violencia de género. Yolanda Díaz llama a movilizarse “pacíficamente en las calles” contra la decisión del Supremo","Tue, 25 Nov 2025 15:04:19 GMT",Espana
El Pais,"Maribel Vilaplana retiró su coche del aparcamiento el día de la dana a las 19.47, una hora después de salir con Mazón de El Ventorro",La marcha de la periodista se produjo solo 24 minutos antes de la alerta masiva de la Generalitat para informar del riesgo de la catástrofe,"Tue, 25 Nov 2025 20:50:36 GMT",No hay un pais relacionado
El Pais,Miles de mujeres marchan contra el negacionismo y el riesgo de retrocesos contra la violencia machista,El feminismo vuelve a mostrar su división en varias ciudades españolas en el Día Internacional contra la Violencia de Género,"Tue, 25 Nov 2025 21:08:21 GMT",No hay un pais relacionado
El Pais,"Las manifestaciones del 25-N por el Día Internacional contra la Violencia Machista, en imágenes","Las manifestaciones del 25-N por el Día Internacional contra la Violencia Machista, en imágenes","Tue, 25 Nov 2025 19:49:09 GMT",No hay un pais relacionado
El Pais,Pasajeros rumbo a Venezuela estancados en Barajas por la cancelación de los vuelos: “Se lavan las manos”,"Varias compañías aéreas han suspendido sus operaciones en la ruta entre Madrid y Caracas, entre advertencias de autoridades por riesgos para la seguridad, hasta que “las condiciones sean adecuadas”","Tue, 25 Nov 2025 15:28:30 GMT","Estados unidos,Venezuela"
El Pais,El chavismo se moviliza para reivindicarse frente a las amenazas de Estados Unidos,Miles de simpatizantes del Gobierno venezolano se concentran en Caracas en una marcha antiimperialista,"Tue, 25 Nov 2025 19:32:13 GMT","Estados Unidos,Estados unidos,Venezuela"
El Pais,Buscador | ¿Cuánto cobra el alcalde de tu ciudad?,"Los regidores de Madrid, Bilbao y Barcelona superan los 100.000 euros anuales","Tue, 25 Nov 2025 11:36:58 GMT",No hay un pais relacionado
El Pais,Diez alcaldes españoles cobran más que el presidente del Gobierno,"Los sueldos de los regidores de Madrid, Bilbao, Barcelona, San Sebastián y Vitoria superan al del jefe del Ejecutivo y varios ministros","Tue, 25 Nov 2025 16:47:18 GMT",No hay un pais relacionado
El Pais,La Guía Michelin de España deja vacía este año la categoría de nuevos tres estrellas,"Cinco locales consiguen la segunda estrella: Enigma, Aleia y Mont Bar (los tres en Barcelona), Ramón Freixa (Madrid) y La Boscana (Lleida). Además, 25 restaurantes entran por primera vez en la guía","Tue, 25 Nov 2025 20:56:27 GMT",España
El Pais,Mapa de todos los restaurantes con estrella Michelin 2026 en España,La guía incluye nuevas distinciones para 30 establecimientos: 25 son recién llegados,"Tue, 25 Nov 2025 21:50:47 GMT",España
El Pais,Una familia y cuatro estrategias: el reparto de papeles de los Pujol en el juicio,Los abogados critican que la “indefinición” de las acusaciones de la Fiscalía sobre el origen de la fortuna los deja indefensos,"Tue, 25 Nov 2025 15:34:09 GMT",Espana
El Pais,"Íñigo Ramírez de Haro, cuñado de Esperanza Aguirre: “Después de cinco años de ser vilipendiado, esta sentencia me devuelve el honor”","El dramaturgo y exdiplomático ha ganado el juicio a su hermano por la venta de un ‘goya’. En su nuevo libro, ‘Los hipócritas’, hace una ácida descripción de la carrera diplomática","Tue, 25 Nov 2025 11:00:11 GMT",No hay un pais relacionado
El Pais,Fulminados tres altos cargos del CNIO tras las denuncias de corrupción,"El órgano de Gobierno del mayor centro de cáncer acepta cambiar su estructura para romper con la etapa anterior, marcada por presuntas irregularidades en la contratación","Tue, 25 Nov 2025 13:58:11 GMT",No hay un pais relacionado
El Pais,"El enviado de Trump, Steve Witkoff, se reunirá con Putin para hablar del plan de paz para Ucrania","El secretario del Ejército, Dan Driscoll, se reunirá con representantes ucranios, revela el presidente estadounidense","Tue, 25 Nov 2025 20:15:30 GMT","Rusia,Ucrania"
El Pais,"Telefónica propone 6.088 despidos para comenzar a negociar el ERE, el 35% de la plantilla","Este martes ha sumado otras 751 salidas en Telefónica Global Solutions, Telefónica Innovación Digital y Telefónica SA","Tue, 25 Nov 2025 10:11:53 GMT",No hay un pais relacionado
El Pais,Hasset se perfila como favorito para relevar a Powell al frente de la Reserva Federal,El secretario del Tesoro asegura que hay una gran oportunidad de hacer el relevo antes de Navidad,"Tue, 25 Nov 2025 18:36:43 GMT",Estados unidos
El Pais,Bolsonaro empieza a cumplir en una comisaría la pena de 27 años por intentar perpetrar un golpe de Estado,"El expresidente, que padece problemas gastrointestinales, fue condenado por liderar un complot contra Lula tras perder en 2022","Tue, 25 Nov 2025 22:47:28 GMT",Brasil
El Pais,El Barça se condena y se retrata en Europa,La expulsión de Araujo sentencia a un inofensivo equipo azulgrana ante un muy buen Chelsea,"Tue, 25 Nov 2025 22:33:56 GMT",No hay un pais relacionado
El Pais,"Las cinco ‘edades’ del cerebro humano: hay cambios cruciales alrededor de los 9, los 32, los 66 y los 83 años","Un estudio identifica cuatro puntos de inflexión fundamentales en el desarrollo de las conexiones neuronales a lo largo de la vida, un hallazgo que puede ayudar a comprender alteraciones en la cognición y el comportamiento","Tue, 25 Nov 2025 10:00:30 GMT",No hay un pais relacionado
El Pais,Bruselas vaticina que España corre el riesgo de incumplir los objetivos de gasto en 2026,La Comisión cree que España ya puede salir del programa de vigilancia derivado del rescate financiero de 2012,"Tue, 25 Nov 2025 14:51:34 GMT","España,Espana"
El Pais,La justicia de la UE obliga a todos los países de la Unión a reconocer un matrimonio homosexual celebrado en otro Estado miembro,"El TJUE dicta que las uniones igualitarias deben ser reconocidas, aunque no exista normativa nacional al respecto","Tue, 25 Nov 2025 12:47:02 GMT",No hay un pais relacionado
El Pais,Jan Martínez Ahrens: “Nuestra tarea es contar la verdad de lo que ocurre y hacerlo sin miedo”,El director de EL PAÍS ha impartido la lección de clausura de la entrega de diplomas de la 38ª promoción del Máster de Periodismo de la Escuela UAM-EL PAÍS,"Tue, 25 Nov 2025 17:40:34 GMT",No hay un pais relacionado
El Pais,Mueren una pareja y sus dos hijos por un escape de gas en una casa de Torrox (Málaga),"Los fallecidos, de origen marroquí, vivían en una vivienda del casco antiguo del pueblo","Tue, 25 Nov 2025 18:46:06 GMT",Espana
El Pais,La Guardia Civil investiga una agresión sexual entre menores en un colegio de Las Rozas,"Los padres del niño agredido, de seis años, han presentado una denuncia contra los supuestos agresores, de 11, y contra la dirección del centro público en Las Matas","Tue, 25 Nov 2025 09:47:38 GMT",No hay un pais relacionado
El Pais,El juez ve “indicios sólidos” contra el expresidente de la Diputación de Almería: hablaba de ir al “dentista” para referirse a las comisiones,En el auto que motivó su detención se incide en la “importancia del papel que ejercía Javier Aureliano García en el entramado delictivo”,"Tue, 25 Nov 2025 10:16:11 GMT",Espana
El Pais,Detenido en Francia el presunto cuarto integrante del grupo que robó en el Louvre el pasado octubre,Un informe encargado por el museo en 2019 ya alertaba de que la ventana por la que accedieron los ladrones era uno de los principales fallos de seguridad de la pinacoteca,"Tue, 25 Nov 2025 13:53:38 GMT",Francia
El Pais,Seguir aquí la Gala de la Guía Michelin puede tener premio,"Málaga se convierte hoy en el epicentro culinario con la Gala de la Guía MICHELIN España 2026, la noche más esperada del año para la gastronomía española. Aquí se puede seguir… y participar en el sorteo de una experiencia gastronómica en alguno de los restaurantes de la nueva selección","Tue, 25 Nov 2025 16:49:09 GMT",España
El Pais,Cuenta atrás para la baliza V-16: ¿cuánto cuesta? ¿qué multas se contemplan? ¿rastrea el coche?,La obligatoriedad de llevar una luz conectada a partir del 1 de enero de 2026 abre un negocio de 1.400 millones de euros,"Tue, 25 Nov 2025 11:17:15 GMT",No hay un pais relacionado
El Pais,Las primeras palabras de Javier Calvo tras su ruptura con Javier Ambrossi: “Es la persona más importante de mi vida”,"El productor y director fue recibido en el aeropuerto de Madrid por los paparazis, con los que habló de la actual relación con su expareja o los supuestos nuevos romances","Tue, 25 Nov 2025 09:53:04 GMT",No hay un pais relacionado
El Pais,"La fiscalía pide un año y ocho meses de prisión para Chiara Ferragni, acusada de estafa agravada","La ‘influencer’ italiana, que ya ha pagado más de tres millones de euros en concepto de resarcimientos y donaciones tras el ‘Pandorogate’, dice que “confía” en el proceso judicial","Tue, 25 Nov 2025 15:30:41 GMT",Italia
El Pais,"Así ha sido la millonaria boda india del año: actuación de Jennifer Lopez, escenario de James Bond y una tarta en forma de palacio",La heredera Netra Mantena y el empresario tecnológico Vamsi Gadiraju han celebrado su enlace con cuatro días de festejos en Udaipur en los que no han escatimado en gastos y han contado con invitados como Donald Trump Jr.,"Tue, 25 Nov 2025 11:34:43 GMT",India
El Pais,Espaldarazo a la transparencia,El fallo judicial que obliga a la Comunidad de Madrid a entregar las actas de inspección de las residencias durante la pandemia es una victoria para la ciudadanía,"Tue, 25 Nov 2025 04:30:01 GMT",Espana
El Pais,"Cinco años después, el mar sigue callado",Mi padre desapareció tras el vuelco del pesquero ‘Maremi’ en julio de 2021. Nueve marineros fueron rescatados. Él nunca volvió. Esta es la historia y la herida que seguimos llevando abierta.,"Tue, 25 Nov 2025 04:30:01 GMT",Espana
El Pais,Flavita Banana: charla básica,Viñeta del 25 de noviembre de 2025,"Tue, 25 Nov 2025 04:30:01 GMT",No hay un pais relacionado
El Pais,Auge súbito de Sílvia Orriols,"Apogeo fulgurante de Aliança Catalana, según el barómetro del CEO que apunta el ascenso veloz de este partido nacionalpopulista en las próximas elecciones catalanas","Tue, 25 Nov 2025 04:15:00 GMT",No hay un pais relacionado
El Pais,Historias mínimas que no lo son: Freddie Mercury y Montserrat Caballé en Barcelona,Asociaciones de vecinos se oponen a que el Ayuntamiento dedique una estatua a los dos inolvidables intérpretes de la canción ‘Barcelona’,"Tue, 25 Nov 2025 04:15:00 GMT",No hay un pais relacionado
El Pais,"La vida en La Habana de Martiño Ramos, el profesor español condenado por abusar de una alumna","Desde que huyó de la justicia española y hasta su detención, Martiño Ramos Soto se presentaba en Cuba como un hombre de negocios haciendo turismo. Incursionó en los circuitos culturales, donde contactaba con jóvenes a través de la fotografía","Tue, 25 Nov 2025 04:30:01 GMT",Cuba
El Pais,"Amanda Romare, escritora y guionista: “En las citas te dicen que eres la mujer de sus sueños y al día siguiente desaparecen sin dejar rastro”","Tras volcar sus experiencias amorosas y sexuales en ‘Diario de una chica experta en desastres de amor’, novela que ya cuenta con su propia serie en Netflix, la autora reflexiona sobre la dificultad de encontrar el amor… E incluso una segunda cita","Tue, 25 Nov 2025 04:30:01 GMT",No hay un pais relacionado
El Pais,"Cinco años después de la muerte de Maradona: homenajes, un juicio pendiente y cuitas entre sus familiares por la herencia de la marca del 10",La nueva vista a los responsables que cuidaron del astro futbolístico argentino en sus últimos días comenzará en marzo después de haberse declarado nulo el primer juicio,"Tue, 25 Nov 2025 18:05:35 GMT",Argentina
El Pais,El CSIC limpia las huellas franquistas de sus pasillos y pone rostro a 500 represaliados tras su fundación en 1939,"El mayor organismo de ciencia de España nació de la destrucción de la Junta para Ampliación de Estudios, culpada de “desarraigar del alma española la fe de Cristo”","Tue, 25 Nov 2025 04:30:00 GMT",España
El Pais,Richard Gere: “Nuestra realidad no es tan diferente a la de las personas sin hogar. Todos podemos acabar así”,"El actor presenta el documental ‘Lo que nadie quiere ver’, rodado en España con personas sin techo, y lamenta que cada vez sea más peligroso pronunciarse en EE UU","Tue, 25 Nov 2025 04:08:36 GMT","España,Espana,Israel"
El Pais,Euromillones: comprobar sorteo del martes 25 de noviembre,Hoy martes el Euromillones reparte un bote de 162 millones de euros,"Tue, 25 Nov 2025 20:48:06 GMT",Espana
El Pais,El PP de Almeida desoye las críticas por su política contra la violencia machista y habla de los “muros” de la izquierda y de Vox,El PSOE y Más Madrid acusan a los populares de “perpetuar” la violencia de género al recortar servicios de igualdad y de utilizar a las mujeres como “moneda de cambio” en sus pactos con la extrema derecha,"Tue, 25 Nov 2025 15:52:41 GMT",No hay un pais relacionado
El Pais,Las personas no binarias son obligadas a definirse hombre o mujer en las listas electorales: “No existimos”,La Junta Electoral Central concluye que la identificación del sexo de los candidatos “debe coincidir con la expresada en el DNI”,"Tue, 25 Nov 2025 04:30:01 GMT",No hay un pais relacionado
El Pais,"El conflicto de Montecarmelo castigará al PP en Madrid en beneficio de Vox, según una encuesta con los vecinos",La intención del Ayuntamiento de imponer un cantón de basuras en un barrio con 61% de votantes populares causa desapego hacia Almeida,"Tue, 25 Nov 2025 04:30:01 GMT",No hay un pais relacionado
El Pais,Toni Sala conversarà sobre la novel·la ‘Escenaris’ en un club de lectura obert a tothom,La trobada serà dijous 18 de desembre a les 19h. a l’estudi Toresky,"Tue, 25 Nov 2025 17:14:00 GMT",No hay un pais relacionado
El Pais,Masella abre la temporada de esquí en España este miércoles,El frío y la nieve caída estos últimos días han avanzado la apertura de las instalaciones,"Tue, 25 Nov 2025 11:30:58 GMT",España
El Pais,El Gobierno de Starmer reclama unidad para sofocar una revuelta interna ante la presentación de los Presupuestos,La ministra de Economía tiene previsto anunciar este miércoles un paquete de subida de impuestos que amenaza con no contentar a los mercados,"Tue, 25 Nov 2025 12:59:46 GMT",Reino unido
El Pais,El FBI interrogará a los seis congresistas que animaron a los militares de EE UU a desobedecer órdenes “ilegales” de Trump,"La fiscal general asegura que apelará la decisión de la jueza que desestimó el caso contra James Comey y Letitia James, rivales políticos del presidente","Tue, 25 Nov 2025 17:04:39 GMT",Estados unidos
El Pais,El papamóvil de Francisco convertido en clínica llega a Belén y espera el permiso de Israel para entrar en Gaza,El vehículo ha sido habilitado para atender a pacientes en zona de guerra,"Tue, 25 Nov 2025 13:39:08 GMT",Israel
El Pais,Japón debate su política antinuclear en pleno aumento de la tensión con China,La primera ministra habla por teléfono con Trump horas después de que este conversara con Xi sobre Taiwán,"Tue, 25 Nov 2025 09:56:01 GMT","Estados unidos,Japon,China"
El Pais,"Ekrem Imamoglu, el principal rival de Erdogan, se enfrenta a 2.352 años de cárcel",La justicia turca acepta el sumario en el que la Fiscalía acusa al depuesto alcalde de Estambul y otras 400 personas vinculadas a la oposición de una supuesta trama de corrupción,"Tue, 25 Nov 2025 15:07:03 GMT",Turquia
El Pais,AXA adquiere el 40% de FiberPass a Telefónica y Vodafone por 500 millones,La operadora que dirige Marc Murtra mantendrá el control de la sociedad conjunta de fibra,"Tue, 25 Nov 2025 08:08:02 GMT",No hay un pais relacionado
El Pais,"Reino Unido respalda el plan de 55.000 millones para ampliar el aeropuerto de Heathrow, una de las bases de IAG","La infraestructura londinense contará con la demandada tercera pista, con la que ganará capacidad para 276.000 vuelos anuales","Tue, 25 Nov 2025 20:25:44 GMT","Reino Unido,Reino unido"
El Pais,Por qué los finlandeses son los más felices del mundo si tienen un paro entre los más altos de Europa,El estado del bienestar y la capacidad de adaptación de sus ciudadanos son claves para encabezar el ranking,"Tue, 25 Nov 2025 14:15:39 GMT",No hay un pais relacionado
El Pais,Bloquear Temu y Shein durante dos años mientras Europa legisla: el CEO de los ‘súper’ Casino se moja sobre los gigantes online,La Unión Europea prepara normas para las importaciones a la región procedentes de China,"Tue, 25 Nov 2025 11:03:27 GMT","Francia,China"
El Pais,España se corona con dos Emmy Internacionales: mejor actor para Oriol Pla y mejor documental deportivo por la historia de la selección femenina de fútbol,"Dos telenovelas españolas, ‘Valle salvaje’ y ‘Regreso a Las Sabinas’, pierden en su categoría contra la turca ‘Deha’. México, Colombia, Chile y Argentina se van de vacío","Tue, 25 Nov 2025 03:27:42 GMT","Colombia,España,Argentina,Chile"
El Pais,La Unidad contra las Violencias Machistas del Ministerio de Cultura atiende 55 consultas en su primer año,La mayoría de los casos proceden del sector audiovisual y un 43% se refieren a agresiones sexuales,"Tue, 25 Nov 2025 12:54:40 GMT",No hay un pais relacionado
El Pais,"Brigitte Bardot, ingresada por segunda vez en el último mes","La actriz se sometió a una operación el pasado octubre, y tras los rumores sobre su estado de salud abandonó su habitual silencio para desmentir la noticia de su fallecimiento","Tue, 25 Nov 2025 11:26:31 GMT",Francia
El Pais,Juan Uslé recrea el viaje artístico de su vida a través del Atlántico,"El pintor abstracto, una de las figuras más internacionales del arte contemporáneo español, protagoniza una retrospectiva de cuarenta años de trayectoria en el Reina Sofía","Tue, 25 Nov 2025 14:37:34 GMT",No hay un pais relacionado
